"participant-ID","male","av/Car","perspective","passedSanCheck","perceivedCar","perceivedIden","age","drivExperience","education","recAccidents","heardBoutAV","opinAV","prevVRExp","visImpairment","confidence","trial","decision","SecondSanCheck"
"GNM07","False","False","Passenger","True","Computer (AV)","Mitfahrer","19","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Sehr negativ","Nein","Nein","0","mountain","hitPedestrians","True"
"GNM07","False","False","Passenger","True","Computer (AV)","Mitfahrer","19","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Sehr negativ","Nein","Nein","35","cityR","selfSacrifice","True"
"ESE01","True","False","Observer","True","Mensch","Beobachter","23","5-10","keinen Hocschulabschluss","Ja","Ja","Positiv","Ja","Nein","0","mountain","selfSacrifice","True"
"ESE01","True","False","Observer","True","Mensch","Beobachter","23","5-10","keinen Hocschulabschluss","Ja","Ja","Positiv","Ja","Nein","65","cityR","selfSacrifice","True"
"BGN05","True","False","Passenger","True","Computer (AV)","Mitfahrer","20","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Positiv","Nein","Ja","87","cityR","selfSacrifice","True"
"BGN05","True","False","Passenger","True","Computer (AV)","Mitfahrer","20","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Positiv","Nein","Ja","12","mountain","selfSacrifice","True"
"KSS05","False","True","PedLarge","False","Computer (AV)","Beobachter","22","1-5 Jahre","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Nein","Ja","Negativ","Nein","Nein","41","mountain","selfSacrifice","True"
"KSS05","False","True","PedLarge","False","Computer (AV)","Beobachter","22","1-5 Jahre","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Nein","Ja","Negativ","Nein","Nein","64","cityR","selfSacrifice","True"
"MNB10","True","True","Observer","True","Mensch","Beobachter","24","1-5 Jahre","keinen Hocschulabschluss","Nein","Nein","Sehr negativ","Nein","Nein","100","mountain","selfSacrifice","False"
"MNB10","True","True","Observer","True","Mensch","Beobachter","24","1-5 Jahre","keinen Hocschulabschluss","Nein","Nein","Sehr negativ","Nein","Nein","100","cityR","selfSacrifice","False"
"MJM09","False","False","PedSmall","True","Mensch","Fußgänger","26","1-5 Jahre","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Ja","Ja","Negativ","Ja","Ja, korrigiert durch Brille/ Kontaktlinsen","10","mountain","hitPedestrians","True"
"MJM09","False","False","PedSmall","True","Mensch","Fußgänger","26","1-5 Jahre","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Ja","Ja","Negativ","Ja","Ja, korrigiert durch Brille/ Kontaktlinsen","0","cityR","hitPedestrians","True"
"AHN06","True","False","Observer","True","Mensch","Beobachter","22","5-10","keinen Hocschulabschluss","Nein","Ja","Positiv","Ja","Nein","100","mountain","selfSacrifice","True"
"AHN06","True","False","Observer","True","Mensch","Beobachter","22","5-10","keinen Hocschulabschluss","Nein","Ja","Positiv","Ja","Nein","100","cityR","selfSacrifice","True"
"ANV01","False","True","PedSmall","True","Computer (AV)","Fußgänger","22","1-5 Jahre","keinen Hocschulabschluss","Ja","Nein","Negativ","Nein","Ja, korrigiert durch Brille/ Kontaktlinsen","89","mountain","selfSacrifice","True"
"ANV01","False","True","PedSmall","True","Computer (AV)","Fußgänger","22","1-5 Jahre","keinen Hocschulabschluss","Ja","Nein","Negativ","Nein","Ja, korrigiert durch Brille/ Kontaktlinsen","86","cityR","selfSacrifice","True"
"CSS02","True","False","PedLarge","True","Computer (AV)","Fußgänger","26","5-10","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Ja","Ja","Sehr positiv","Ja","Nein","69","mountain","selfSacrifice","True"
"CSS02","True","False","PedLarge","True","Computer (AV)","Fußgänger","26","5-10","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Ja","Ja","Sehr positiv","Ja","Nein","73","cityR","selfSacrifice","True"
"LSH01","True","False","Passenger","True","Mensch","Fußgänger","21","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Positiv","Nein","Nein","35","mountain","hitPedestrians","True"
"LSH01","True","False","Passenger","True","Mensch","Fußgänger","21","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Positiv","Nein","Nein","92","cityR","selfSacrifice","True"
"LXB10","False","True","Passenger","True","Computer (AV)","Mitfahrer","20","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Positiv","Ja","Nein","100","mountain","hitPedestrians","True"
"LXB10","False","True","Passenger","True","Computer (AV)","Mitfahrer","20","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Positiv","Ja","Nein","100","cityR","selfSacrifice","True"
"AMH11","False","False","Passenger","True","Mensch","Mitfahrer","21","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Sehr positiv","Ja","Ja, korrigiert durch Brille/ Kontaktlinsen","78","mountain","hitPedestrians","True"
"AMH11","False","False","Passenger","True","Mensch","Mitfahrer","21","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Sehr positiv","Ja","Ja, korrigiert durch Brille/ Kontaktlinsen","59","cityR","selfSacrifice","True"
"RLF04","True","True","Observer","True","Computer (AV)","Fußgänger","20","Ich fahre nicht Auto","keinen Hocschulabschluss","Nein","Ja","Positiv","Ja","Nein","73","cityR","selfSacrifice","True"
"RLF04","True","True","Observer","True","Computer (AV)","Fußgänger","20","Ich fahre nicht Auto","keinen Hocschulabschluss","Nein","Ja","Positiv","Ja","Nein","6","mountain","hitPedestrians","True"
"CDN09","False","True","Observer","True","Computer (AV)","Beobachter","24","1-5 Jahre","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Nein","Ja","Negativ","Nein","Ja, korrigiert durch Brille/ Kontaktlinsen","50","cityR","selfSacrifice","True"
"CDN09","False","True","Observer","True","Computer (AV)","Beobachter","24","1-5 Jahre","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Nein","Ja","Negativ","Nein","Ja, korrigiert durch Brille/ Kontaktlinsen","18","mountain","selfSacrifice","True"
"EHA05","True","False","Passenger","True","Mensch","Mitfahrer","23","5-10","keinen Hocschulabschluss","Nein","Ja","Positiv","Nein","Nein","100","mountain","hitPedestrians","True"
"EHA05","True","False","Passenger","True","Mensch","Mitfahrer","23","5-10","keinen Hocschulabschluss","Nein","Ja","Positiv","Nein","Nein","100","cityR","hitPedestrians","True"
"DMO09","True","False","PedSmall","True","Mensch","Beobachter","26","5-10","keinen Hocschulabschluss","Ja","Ja","Sehr positiv","Ja","Nein","100","mountain","selfSacrifice","True"
"DMO09","True","False","PedSmall","True","Mensch","Beobachter","26","5-10","keinen Hocschulabschluss","Ja","Ja","Sehr positiv","Ja","Nein","100","cityR","selfSacrifice","True"
"SOG06","False","False","PedLarge","True","Mensch","Beobachter","24","1-5 Jahre","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Nein","Ja","Neutral","Nein","Nein","50","cityR","selfSacrifice","True"
"SOG06","False","False","PedLarge","True","Mensch","Beobachter","24","1-5 Jahre","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Nein","Ja","Neutral","Nein","Nein","0","mountain","hitPedestrians","True"
"GÖA04","False","True","Passenger","True","Computer (AV)","Mitfahrer","21","Ich fahre nicht Auto","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Nein","Ja","Sehr negativ","Ja","Ja, korrigiert durch Brille/ Kontaktlinsen","43","mountain","hitPedestrians","True"
"GÖA04","False","True","Passenger","True","Computer (AV)","Mitfahrer","21","Ich fahre nicht Auto","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Nein","Ja","Sehr negativ","Ja","Ja, korrigiert durch Brille/ Kontaktlinsen","100","cityR","selfSacrifice","True"
"GNM06","True","True","Passenger","True","Mensch","Beobachter","19","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Positiv","Nein","Ja, korrigiert durch Brille/ Kontaktlinsen","90","cityR","selfSacrifice","False"
"GNM06","True","True","Passenger","True","Mensch","Beobachter","19","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Positiv","Nein","Ja, korrigiert durch Brille/ Kontaktlinsen","87","mountain","selfSacrifice","False"
"PFH05","False","False","PedSmall","True","Mensch","Fußgänger","19","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Neutral","Nein","Nein","18","cityR","hitPedestrians","True"
"PFH05","False","False","PedSmall","True","Mensch","Fußgänger","19","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Neutral","Nein","Nein","24","mountain","hitPedestrians","True"
"BSK03","False","True","PedLarge","True","Computer (AV)","Fußgänger","28","10+","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Ja","Ja","Negativ","Nein","Ja","82","mountain","hitPedestrians","True"
"BSK03","False","True","PedLarge","True","Computer (AV)","Fußgänger","28","10+","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Ja","Ja","Negativ","Nein","Ja","100","cityR","selfSacrifice","True"
"ESK09","False","True","Passenger","True","Computer (AV)","Mitfahrer","21","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Positiv","Nein","Nein","14","mountain","hitPedestrians","True"
"ESK09","False","True","Passenger","True","Computer (AV)","Mitfahrer","21","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Positiv","Nein","Nein","29","cityR","selfSacrifice","True"
"KFD05","True","False","PedSmall","True","Computer (AV)","Fußgänger","22","1-5 Jahre","keinen Hocschulabschluss","Ja","Ja","Neutral","Ja","Nein","68","cityR","selfSacrifice","True"
"KFD05","True","False","PedSmall","True","Computer (AV)","Fußgänger","22","1-5 Jahre","keinen Hocschulabschluss","Ja","Ja","Neutral","Ja","Nein","19","mountain","selfSacrifice","True"
"ANB08","False","True","Passenger","True","Computer (AV)","Mitfahrer","20","1-5 Jahre","keinen Hocschulabschluss","Ja","Ja","Positiv","Ja","Ja, korrigiert durch Brille/ Kontaktlinsen","40","mountain","selfSacrifice","True"
"ANB08","False","True","Passenger","True","Computer (AV)","Mitfahrer","20","1-5 Jahre","keinen Hocschulabschluss","Ja","Ja","Positiv","Ja","Ja, korrigiert durch Brille/ Kontaktlinsen","81","cityR","selfSacrifice","True"
"MRH11","True","True","Passenger","True","Computer (AV)","Fußgänger","20","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Positiv","Nein","Nein","1","mountain","selfSacrifice","True"
"MRH11","True","True","Passenger","True","Computer (AV)","Fußgänger","20","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Positiv","Nein","Nein","62","cityR","selfSacrifice","True"
"KPR03","False","True","Passenger","True","Computer (AV)","Mitfahrer","21","1-5 Jahre","keinen Hocschulabschluss","Ja","Ja","Negativ","Nein","Ja, korrigiert durch Brille/ Kontaktlinsen","50","cityR","hitPedestrians","True"
"KPR03","False","True","Passenger","True","Computer (AV)","Mitfahrer","21","1-5 Jahre","keinen Hocschulabschluss","Ja","Ja","Negativ","Nein","Ja, korrigiert durch Brille/ Kontaktlinsen","76","mountain","hitPedestrians","True"
"1","False","True","Passenger","True","Computer (AV)","Mitfahrer","21","Ich fahre nicht Auto","keinen Hocschulabschluss","Nein","Ja","Neutral","Nein","Nein","72","cityR","selfSacrifice","True"
"1","False","True","Passenger","True","Computer (AV)","Mitfahrer","21","Ich fahre nicht Auto","keinen Hocschulabschluss","Nein","Ja","Neutral","Nein","Nein","80","mountain","hitPedestrians","True"
"GNM12","True","True","Observer","True","Computer (AV)","Mitfahrer","30","10+","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Ja","Ja","Negativ","Nein","Ja, korrigiert durch Brille/ Kontaktlinsen","0","mountain","selfSacrifice","True"
"GNM12","True","True","Observer","True","Computer (AV)","Mitfahrer","30","10+","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Ja","Ja","Negativ","Nein","Ja, korrigiert durch Brille/ Kontaktlinsen","0","cityR","hitPedestrians","True"
"RZG09","False","False","PedSmall","True","Computer (AV)","Fußgänger","47","10+","keinen Hocschulabschluss","Nein","Ja","Negativ","Ja","Nein","50","mountain","selfSacrifice","True"
"RZG09","False","False","PedSmall","True","Computer (AV)","Fußgänger","47","10+","keinen Hocschulabschluss","Nein","Ja","Negativ","Ja","Nein","50","cityR","hitPedestrians","True"
"MNO06","True","True","PedLarge","True","Computer (AV)","Mitfahrer","25","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Neutral","Nein","Nein","34","cityR","selfSacrifice","True"
"MNO06","True","True","PedLarge","True","Computer (AV)","Mitfahrer","25","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Neutral","Nein","Nein","14","mountain","selfSacrifice","True"
"IEC09","True","True","PedLarge","False","Computer (AV)","Fußgänger","20","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Positiv","Nein","Nein","11","cityR","hitPedestrians","True"
"IEC09","True","True","PedLarge","False","Computer (AV)","Fußgänger","20","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Positiv","Nein","Nein","0","mountain","selfSacrifice","True"
"KFP01","False","True","PedLarge","True","Computer (AV)","Fußgänger","23","1-5 Jahre","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Ja","Ja","Positiv","Nein","Nein","9","mountain","hitPedestrians","True"
"KFP01","False","True","PedLarge","True","Computer (AV)","Fußgänger","23","1-5 Jahre","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Ja","Ja","Positiv","Nein","Nein","80","cityR","selfSacrifice","True"
"UUH11","True","True","Passenger","True","Computer (AV)","Mitfahrer","26","5-10","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Nein","Ja","Sehr positiv","Ja","Nein","22","mountain","hitPedestrians","True"
"UUH11","True","True","Passenger","True","Computer (AV)","Mitfahrer","26","5-10","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Nein","Ja","Sehr positiv","Ja","Nein","100","cityR","selfSacrifice","True"
"CNB12","True","True","Observer","True","Mensch","Fußgänger","19","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Positiv","Nein","Ja, korrigiert durch Brille/ Kontaktlinsen","76","cityR","selfSacrifice","False"
"CNB12","True","True","Observer","True","Mensch","Fußgänger","19","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Positiv","Nein","Ja, korrigiert durch Brille/ Kontaktlinsen","68","mountain","selfSacrifice","False"
"MKW08","False","True","Observer","True","Computer (AV)","Beobachter","26","5-10","Hochschulabschluss (Master, Diplom, oder höher)","Nein","Ja","Positiv","Ja","Ja, korrigiert durch Brille/ Kontaktlinsen","57","cityR","selfSacrifice","True"
"MKW08","False","True","Observer","True","Computer (AV)","Beobachter","26","5-10","Hochschulabschluss (Master, Diplom, oder höher)","Nein","Ja","Positiv","Ja","Ja, korrigiert durch Brille/ Kontaktlinsen","37","mountain","selfSacrifice","True"
"SSF12","True","False","Passenger","True","Mensch","Mitfahrer","20","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Sehr positiv","Nein","Nein","79","mountain","hitPedestrians","True"
"SSF12","True","False","Passenger","True","Mensch","Mitfahrer","20","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Sehr positiv","Nein","Nein","100","cityR","selfSacrifice","True"
"CSE03","True","True","Observer","True","Mensch","Beobachter","23","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Negativ","Nein","Nein","61","mountain","selfSacrifice","False"
"CSE03","True","True","Observer","True","Mensch","Beobachter","23","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Negativ","Nein","Nein","28","cityR","selfSacrifice","False"
"KSR08","True","True","PedSmall","True","Computer (AV)","Beobachter","23","5-10","keinen Hocschulabschluss","Ja","Ja","Positiv","Ja","Nein","100","cityR","selfSacrifice","True"
"KSR08","True","True","PedSmall","True","Computer (AV)","Beobachter","23","5-10","keinen Hocschulabschluss","Ja","Ja","Positiv","Ja","Nein","89","mountain","selfSacrifice","True"
"NRL06","True","False","Observer","True","Mensch","Mitfahrer","22","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Positiv","Ja","Ja, korrigiert durch Brille/ Kontaktlinsen","11","cityR","selfSacrifice","True"
"NRL06","True","False","Observer","True","Mensch","Mitfahrer","22","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Positiv","Ja","Ja, korrigiert durch Brille/ Kontaktlinsen","55","mountain","selfSacrifice","True"
"AHF07","True","False","Passenger","True","Mensch","Mitfahrer","18","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Positiv","Nein","Ja, korrigiert durch Brille/ Kontaktlinsen","85","cityR","selfSacrifice","True"
"AHF07","True","False","Passenger","True","Mensch","Mitfahrer","18","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Positiv","Nein","Ja, korrigiert durch Brille/ Kontaktlinsen","84","mountain","selfSacrifice","True"
"MNY08","False","True","Passenger","True","Computer (AV)","Mitfahrer","21","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Negativ","Ja","Ja","98","cityR","selfSacrifice","True"
"MNY08","False","True","Passenger","True","Computer (AV)","Mitfahrer","21","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Negativ","Ja","Ja","0","mountain","selfSacrifice","True"
"SHE11","False","False","Passenger","True","Computer (AV)","Mitfahrer","20","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Negativ","Nein","Nein","65","cityR","selfSacrifice","True"
"SHE11","False","False","Passenger","True","Computer (AV)","Mitfahrer","20","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Negativ","Nein","Nein","14","mountain","hitPedestrians","True"
"NIO11","False","False","PedLarge","True","Computer (AV)","Beobachter","24","5-10","keinen Hocschulabschluss","Ja","Ja","Negativ","Nein","Nein","24","cityR","selfSacrifice","True"
"NIO11","False","False","PedLarge","True","Computer (AV)","Beobachter","24","5-10","keinen Hocschulabschluss","Ja","Ja","Negativ","Nein","Nein","34","mountain","selfSacrifice","True"
"MMD12","True","True","Passenger","True","Computer (AV)","Mitfahrer","25","Ich fahre nicht Auto","keinen Hocschulabschluss","Nein","Nein","Negativ","Nein","Nein","50","mountain","hitPedestrians","True"
"MMD12","True","True","Passenger","True","Computer (AV)","Mitfahrer","25","Ich fahre nicht Auto","keinen Hocschulabschluss","Nein","Nein","Negativ","Nein","Nein","100","cityR","selfSacrifice","True"
"INL05","False","False","PedLarge","True","Mensch","Beobachter","24","5-10","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Ja","Ja","Neutral","Nein","Ja, korrigiert durch Brille/ Kontaktlinsen","62","mountain","hitPedestrians","True"
"INL05","False","False","PedLarge","True","Mensch","Beobachter","24","5-10","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Ja","Ja","Neutral","Nein","Ja, korrigiert durch Brille/ Kontaktlinsen","33","cityR","selfSacrifice","True"
"TLN07","True","True","Observer","True","Computer (AV)","Beobachter","23","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Positiv","Ja","Ja","36","mountain","selfSacrifice","True"
"TLN07","True","True","Observer","True","Computer (AV)","Beobachter","23","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Positiv","Ja","Ja","80","cityR","selfSacrifice","True"
"MRW09","True","True","PedSmall","True","Computer (AV)","Beobachter","24","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Sehr positiv","Nein","Ja, korrigiert durch Brille/ Kontaktlinsen","51","mountain","selfSacrifice","True"
"MRW09","True","True","PedSmall","True","Computer (AV)","Beobachter","24","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Sehr positiv","Nein","Ja, korrigiert durch Brille/ Kontaktlinsen","33","cityR","selfSacrifice","True"
"GSM03","True","True","Passenger","True","Computer (AV)","Mitfahrer","19","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Positiv","Ja","Ja, korrigiert durch Brille/ Kontaktlinsen","67","cityR","hitPedestrians","True"
"GSM03","True","True","Passenger","True","Computer (AV)","Mitfahrer","19","1-5 Jahre","keinen Hocschulabschluss","Nein","Ja","Positiv","Ja","Ja, korrigiert durch Brille/ Kontaktlinsen","100","mountain","hitPedestrians","True"
"BNL12","False","True","PedLarge","True","Computer (AV)","Fußgänger","23","5-10","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Ja","Ja","Neutral","Nein","Nein","50","mountain","hitPedestrians","True"
"BNL12","False","True","PedLarge","True","Computer (AV)","Fußgänger","23","5-10","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Ja","Ja","Neutral","Nein","Nein","50","cityR","selfSacrifice","True"
"SNB08","True","False","Observer","True","Computer (AV)","Mitfahrer","24","5-10","keinen Hocschulabschluss","Nein","Ja","Positiv","Nein","Nein","16","mountain","hitPedestrians","True"
"SNB08","True","False","Observer","True","Computer (AV)","Mitfahrer","24","5-10","keinen Hocschulabschluss","Nein","Ja","Positiv","Nein","Nein","78","cityR","selfSacrifice","True"
"DNJ09","True","False","Observer","True","Computer (AV)","Beobachter","21","Ich fahre nicht Auto","keinen Hocschulabschluss","Nein","Ja","Sehr positiv","Nein","Nein","0","mountain","hitPedestrians","True"
"DNJ09","True","False","Observer","True","Computer (AV)","Beobachter","21","Ich fahre nicht Auto","keinen Hocschulabschluss","Nein","Ja","Sehr positiv","Nein","Nein","81","cityR","selfSacrifice","True"
"SDP07","True","True","PedSmall","True","Computer (AV)","Fußgänger","22","5-10","keinen Hocschulabschluss","Nein","Ja","Positiv","Nein","Ja, korrigiert durch Brille/ Kontaktlinsen","97","cityR","selfSacrifice","True"
"SDP07","True","True","PedSmall","True","Computer (AV)","Fußgänger","22","5-10","keinen Hocschulabschluss","Nein","Ja","Positiv","Nein","Ja, korrigiert durch Brille/ Kontaktlinsen","89","mountain","hitPedestrians","True"
"FTO07","False","False","Observer","True","Mensch","Mitfahrer","22","5-10","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Ja","Ja","Positiv","Nein","Nein","78","cityR","selfSacrifice","True"
"FTO07","False","False","Observer","True","Mensch","Mitfahrer","22","5-10","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Ja","Ja","Positiv","Nein","Nein","70","mountain","selfSacrifice","True"
"LLH06","True","False","PedLarge","True","Mensch","Beobachter","26","Ich fahre nicht Auto","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Nein","Ja","Positiv","Ja","Ja, korrigiert durch Brille/ Kontaktlinsen","8","cityR","hitPedestrians","True"
"LLH06","True","False","PedLarge","True","Mensch","Beobachter","26","Ich fahre nicht Auto","Hochschulabschluss (Bachelor, Vordiplom,etc.)","Nein","Ja","Positiv","Ja","Ja, korrigiert durch Brille/ Kontaktlinsen","32","mountain","selfSacrifice","True"
"KGG05","True","True","PedSmall","True","Computer (AV)","Beobachter","27","5-10","keinen Hocschulabschluss","Nein","Ja","Sehr positiv","Nein","Ja, korrigiert durch Brille/ Kontaktlinsen","100","cityR","selfSacrifice","True"
"KGG05","True","True","PedSmall","True","Computer (AV)","Beobachter","27","5-10","keinen Hocschulabschluss","Nein","Ja","Sehr positiv","Nein","Ja, korrigiert durch Brille/ Kontaktlinsen","100","mountain","hitPedestrians","True"
