"participant-ID","male","av/car","perspective","scenario","numb_childrenL","numb_adultL","numb_adultR","left_first","selected_option","difficulty_of_decision","response_time1","response_time2","SecondSanCheck","SecondSanCheck"
"RLF04","True","True","1","0","1","1","3","True","Zweiteres","0","11.77243","8.635895","True","True"
"RLF04","True","True","1","3","0","2","0","False","Ersteres","73","3.631531","5.583496","True","True"
"RLF04","True","True","1","1","0","1","2","True","Zweiteres","40","28.23517","3.464661","True","True"
"RLF04","True","True","1","2","0","2","0","True","Ersteres","6","9.108765","1.290283","True","True"
"CDN09","False","True","1","0","0","1","5","False","Zweiteres","71","10.69513","6.171082","True","True"
"CDN09","False","True","1","0","0","0","1","False","Zweiteres","100","9.217529","4.141449","True","True"
"CDN09","False","True","1","0","1","1","3","False","Ersteres","27","4.686584","1.925842","True","True"
"CDN09","False","True","1","1","0","2","4","False","Ersteres","28","12.81305","1.94223","True","True"
"CDN09","False","True","1","3","0","2","0","False","Ersteres","50","10.03329","1.951813","True","True"
"CDN09","False","True","1","0","2","1","5","False","Ersteres","33","1.866547","2.009308","True","True"
"CDN09","False","True","1","2","0","2","0","True","Zweiteres","18","1.11969","1.750793","True","True"
"CDN09","False","True","1","1","0","1","2","True","Zweiteres","50","3.399963","0.9449463","True","True"
"EHA05","True","False","0","0","0","1","5","False","Ersteres","93","13.54502","6.303719","True","True"
"EHA05","True","False","0","0","0","0","1","False","Zweiteres","100","7.147354","2.603882","True","True"
"EHA05","True","False","0","0","2","1","5","True","Ersteres","59","3.372192","10.52315","True","True"
"EHA05","True","False","0","1","0","1","2","False","Zweiteres","86","9.516541","7.763245","True","True"
"EHA05","True","False","0","2","0","2","0","False","Zweiteres","100","2.222931","1.898804","True","True"
"EHA05","True","False","0","3","0","2","0","True","Ersteres","100","8.327606","1.53714","True","True"
"EHA05","True","False","0","1","0","2","4","False","Zweiteres","74","1.709351","1.987793","True","True"
"EHA05","True","False","0","0","1","1","3","False","Zweiteres","63","6.445496","1.998779","True","True"
"DMO09","True","False","2","0","0","1","5","False","Zweiteres","100","13.21648","7.347137","True","True"
"DMO09","True","False","2","0","0","0","1","False","Zweiteres","96","5.414795","11.57437","True","True"
"DMO09","True","False","2","1","0","2","4","False","Zweiteres","100","13.63281","9.164825","True","True"
"DMO09","True","False","2","0","2","1","5","False","Ersteres","72","11.29892","2.697083","True","True"
"DMO09","True","False","2","0","1","1","3","True","Ersteres","100","11.24405","4.516602","True","True"
"DMO09","True","False","2","2","0","2","0","True","Zweiteres","100","3.653992","1.506409","True","True"
"DMO09","True","False","2","1","0","1","2","False","Ersteres","59","20.51312","3.959961","True","True"
"DMO09","True","False","2","3","0","2","0","True","Zweiteres","100","3.72168","1.349365","True","True"
"SOG06","False","False","3","0","0","1","5","False","Zweiteres","19","21.41853","11.1973","True","True"
"SOG06","False","False","3","0","0","0","1","False","Zweiteres","100","7.039917","1.750763","True","True"
"SOG06","False","False","3","3","0","2","0","False","Ersteres","50","3.73822","2.729553","True","True"
"SOG06","False","False","3","1","0","1","2","False","Ersteres","0","12.11273","1.625916","True","True"
"SOG06","False","False","3","1","0","2","4","False","Ersteres","0","3.19397","1.374329","True","True"
"SOG06","False","False","3","0","2","1","5","False","Ersteres","0","9.645813","2.721069","True","True"
"SOG06","False","False","3","0","1","1","3","True","Zweiteres","0","5.508667","1.441711","True","True"
"SOG06","False","False","3","2","0","2","0","True","Ersteres","0","42.61371","2.244324","True","True"
"GÖA04","False","True","0","0","0","1","5","True","Ersteres","70","8.931","7.097641","True","True"
"GÖA04","False","True","0","0","0","0","1","False","Zweiteres","100","2.87088","2.446152","True","True"
"GÖA04","False","True","0","2","0","2","0","True","Ersteres","43","2.806183","6.632355","True","True"
"GÖA04","False","True","0","3","0","2","0","True","Zweiteres","100","1.362091","1.63147","True","True"
"GÖA04","False","True","0","0","2","1","5","False","Ersteres","63","1.909821","2.614014","True","True"
"GÖA04","False","True","0","0","1","1","3","False","Zweiteres","63","1.057373","2.07016","True","True"
"GÖA04","False","True","0","1","0","1","2","True","Ersteres","100","0.9417725","1.673767","True","True"
"GÖA04","False","True","0","1","0","2","4","True","Ersteres","100","0.9328613","1.613953","True","True"
"GNM06","True","True","0","0","0","1","5","True","Ersteres","100","5.788467","2.376472","False","False"
"GNM06","True","True","0","0","0","0","1","False","Zweiteres","100","3.65274","1.440567","False","False"
"GNM06","True","True","0","3","0","2","0","True","Zweiteres","90","6.199692","0.9043427","False","False"
"GNM06","True","True","0","0","2","1","5","False","Zweiteres","4","15.07332","3.468506","False","False"
"GNM06","True","True","0","2","0","2","0","True","Zweiteres","87","1.79837","1.490326","False","False"
"GNM06","True","True","0","0","1","1","3","False","Zweiteres","50","3.023682","3.074982","False","False"
"GNM06","True","True","0","1","0","2","4","True","Ersteres","100","2.083038","4.853333","False","False"
"GNM06","True","True","0","1","0","1","2","False","Zweiteres","96","3.184357","1.786102","False","False"
"PFH05","False","False","2","0","0","1","5","True","Ersteres","82","8.267548","7.213081","True","True"
"PFH05","False","False","2","0","0","0","1","True","Ersteres","86","3.984024","2.662766","True","True"
"PFH05","False","False","2","3","0","2","0","True","Ersteres","18","5.642838","4.018448","True","True"
"PFH05","False","False","2","1","0","2","4","False","Zweiteres","20","1.866638","4.007629","True","True"
"PFH05","False","False","2","0","2","1","5","True","Zweiteres","0","4.786377","3.099243","True","True"
"PFH05","False","False","2","2","0","2","0","False","Zweiteres","24","3.028168","3.562469","True","True"
"PFH05","False","False","2","0","1","1","3","True","Zweiteres","29","7.373077","8.230164","True","True"
"PFH05","False","False","2","1","0","1","2","False","Zweiteres","61","1.452026","2.958923","True","True"
"BSK03","False","True","3","0","0","1","5","False","Zweiteres","78","38.83365","10.13486","True","True"
"BSK03","False","True","3","0","0","0","1","True","Ersteres","100","4.957092","4.492493","True","True"
"BSK03","False","True","3","1","0","2","4","True","Ersteres","100","13.08167","3.985657","True","True"
"BSK03","False","True","3","2","0","2","0","False","Zweiteres","82","4.005981","8.962158","True","True"
"BSK03","False","True","3","3","0","2","0","False","Ersteres","100","9.638306","1.955994","True","True"
"BSK03","False","True","3","0","2","1","5","True","Zweiteres","100","16.56628","2.154236","True","True"
"BSK03","False","True","3","1","0","1","2","True","Ersteres","100","5.085938","1.872925","True","True"
"BSK03","False","True","3","0","1","1","3","True","Zweiteres","100","11.06805","1.631958","True","True"
"ESK09","False","True","0","0","0","1","5","False","Zweiteres","83","17.03517","6.177963","True","True"
"ESK09","False","True","0","0","0","0","1","True","Ersteres","100","5.539825","2.301346","True","True"
"ESK09","False","True","0","0","1","1","3","False","Zweiteres","35","3.624329","8.517059","True","True"
"ESK09","False","True","0","0","2","1","5","True","Ersteres","27","4.311615","3.797516","True","True"
"ESK09","False","True","0","1","0","2","4","False","Zweiteres","53","5.428406","12.30966","True","True"
"ESK09","False","True","0","2","0","2","0","False","Zweiteres","14","4.143433","9.47229","True","True"
"ESK09","False","True","0","3","0","2","0","False","Ersteres","29","15.94891","2.046021","True","True"
"ESK09","False","True","0","1","0","1","2","False","Zweiteres","74","2.923645","6.023315","True","True"
"KFD05","True","False","2","0","0","1","5","True","Zweiteres","0","11.8268","4.158401","True","True"
"KFD05","True","False","2","0","0","0","1","False","Zweiteres","100","2.62352","2.659714","True","True"
"KFD05","True","False","2","0","1","1","3","False","Ersteres","11","2.221405","3.854858","True","True"
"KFD05","True","False","2","3","0","2","0","False","Ersteres","68","1.097626","5.950623","True","True"
"KFD05","True","False","2","1","0","2","4","False","Ersteres","12","2.372528","4.206451","True","True"
"KFD05","True","False","2","2","0","2","0","True","Zweiteres","19","4.341522","1.924652","True","True"
"KFD05","True","False","2","0","2","1","5","True","Zweiteres","19","3.683746","2.997223","True","True"
"KFD05","True","False","2","1","0","1","2","True","Zweiteres","24","1.718597","1.230316","True","True"
"ANB08","False","True","0","0","0","1","5","False","Ersteres","79","10.78804","2.861542","True","True"
"ANB08","False","True","0","0","0","0","1","False","Zweiteres","67","2.891632","1.431061","True","True"
"ANB08","False","True","0","1","0","2","4","True","Zweiteres","66","3.253723","2.040741","True","True"
"ANB08","False","True","0","2","0","2","0","True","Zweiteres","40","4.152863","10.29297","True","True"
"ANB08","False","True","0","0","1","1","3","False","Ersteres","86","4.811371","1.968628","True","True"
"ANB08","False","True","0","1","0","1","2","False","Ersteres","83","2.216797","3.73053","True","True"
"ANB08","False","True","0","0","2","1","5","False","Ersteres","83","1.929199","2.878601","True","True"
"ANB08","False","True","0","3","0","2","0","False","Ersteres","81","1.585876","3.132141","True","True"
"MRH11","True","True","0","0","0","1","5","False","Zweiteres","66","5.208725","6.451904","True","True"
"MRH11","True","True","0","0","0","0","1","True","Ersteres","96","7.160217","2.725113","True","True"
"MRH11","True","True","0","2","0","2","0","True","Zweiteres","1","13.88309","3.005585","True","True"
"MRH11","True","True","0","0","2","1","5","False","Ersteres","10","5.391327","3.679138","True","True"
"MRH11","True","True","0","3","0","2","0","True","Zweiteres","62","2.879333","8.379364","True","True"
"MRH11","True","True","0","1","0","1","2","False","Zweiteres","49","3.291595","7.565216","True","True"
"MRH11","True","True","0","1","0","2","4","True","Ersteres","47","2.103821","8.016235","True","True"
"MRH11","True","True","0","0","1","1","3","False","Zweiteres","5","6.024963","4.385437","True","True"
"KPR03","False","True","0","0","0","1","5","False","Zweiteres","100","9.166656","4.428474","True","True"
"KPR03","False","True","0","0","0","0","1","True","Ersteres","100","2.849716","2.612228","True","True"
"KPR03","False","True","0","0","2","1","5","True","Ersteres","71","1.765121","2.066177","True","True"
"KPR03","False","True","0","0","1","1","3","True","Ersteres","87","4.491302","1.786087","True","True"
"KPR03","False","True","0","1","0","1","2","False","Zweiteres","72","1.560638","1.46637","True","True"
"KPR03","False","True","0","3","0","2","0","True","Ersteres","50","1.314331","0.3834839","True","True"
"KPR03","False","True","0","2","0","2","0","True","Ersteres","76","1.041931","1.973907","True","True"
"KPR03","False","True","0","1","0","2","4","True","Ersteres","82","1.056915","1.310974","True","True"
"1","False","True","0","0","0","1","5","True","Ersteres","100","7.043297","5.969284","True","True"
"1","False","True","0","0","0","0","1","False","Zweiteres","100","3.226501","2.023285","True","True"
"1","False","True","0","0","1","1","3","True","Ersteres","25","17.73485","7.084198","True","True"
"1","False","True","0","1","0","1","2","False","Zweiteres","74","3.226563","6.446808","True","True"
"1","False","True","0","0","2","1","5","False","Zweiteres","14","2.192749","1.939728","True","True"
"1","False","True","0","1","0","2","4","False","Zweiteres","73","2.024841","3.325378","True","True"
"1","False","True","0","3","0","2","0","False","Ersteres","72","3.549744","3.453705","True","True"
